CustomerID,Gender,Age,MonthlyCharges,TotalCharges,Tenure,Contract,InternetService,TechSupport,StreamingTV,PaymentMethod,Churn
C001,Male,45,29.85,1500.50,50,Two year,DSL,Yes,No,Electronic check,No
C002,Female,32,56.95,3000.25,53,Month-to-month,Fiber optic,No,Yes,Credit card,Yes
C003,Male,28,53.85,200.00,4,Month-to-month,Fiber optic,No,No,Bank transfer,Yes
C004,Female,55,42.30,2500.75,60,One year,DSL,Yes,Yes,Mailed check,No
C005,Male,39,70.70,4500.00,64,Two year,Fiber optic,Yes,Yes,Credit card,No
C006,Female,26,19.95,100.00,5,Month-to-month,No,No internet service,No,Electronic check,Yes
C007,Male,52,89.15,6500.50,73,Two year,Fiber optic,Yes,Yes,Credit card,No
C008,Female,30,54.95,1800.00,33,One year,Fiber optic,No,Yes,Bank transfer,No
C009,Male,48,49.95,2400.80,48,One year,DSL,Yes,No,Electronic check,No
C010,Female,35,63.50,500.00,8,Month-to-month,Fiber optic,No,Yes,Credit card,Yes
C011,Male,42,74.40,3800.00,51,Two year,Fiber optic,Yes,Yes,Credit card,No
C012,Female,29,25.75,150.00,6,Month-to-month,DSL,No,No,Electronic check,Yes
C013,Male,60,44.85,3200.00,71,Two year,DSL,Yes,No,Mailed check,No
C014,Female,33,69.25,800.00,12,Month-to-month,Fiber optic,No,Yes,Bank transfer,Yes
C015,Male,44,59.90,4200.50,70,One year,Fiber optic,Yes,Yes,Credit card,No
C016,Female,25,20.25,120.00,6,Month-to-month,DSL,No,No,Electronic check,Yes
C017,Male,50,85.55,5800.00,68,Two year,Fiber optic,Yes,Yes,Bank transfer,No
C018,Female,37,48.20,2100.00,44,One year,DSL,Yes,No,Credit card,No
C019,Male,31,67.85,650.00,10,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
C020,Female,58,39.65,2900.00,73,Two year,DSL,Yes,Yes,Mailed check,No
C021,Male,27,72.35,350.00,5,Month-to-month,Fiber optic,No,No,Credit card,Yes
C022,Female,46,51.20,3600.00,70,Two year,Fiber optic,Yes,Yes,Bank transfer,No
C023,Male,34,29.75,1200.00,40,One year,DSL,No,No,Electronic check,No
C024,Female,41,79.50,950.00,12,Month-to-month,Fiber optic,Yes,Yes,Credit card,Yes
C025,Male,53,45.90,3100.00,68,Two year,DSL,Yes,No,Mailed check,No
C026,Female,28,64.70,280.00,4,Month-to-month,Fiber optic,No,Yes,Electronic check,Yes
C027,Male,49,88.95,6200.00,70,Two year,Fiber optic,Yes,Yes,Credit card,No
